time,temp,hum,tvoc
00:00:02,30.22,42.58,212.00
00:00:22,30.21,42.60,210.00
00:00:42,30.22,42.63,211.00
00:01:02,30.19,42.63,211.00
00:01:22,30.21,42.66,209.00
00:01:42,30.22,42.57,211.00
00:02:02,30.22,42.59,212.00
00:02:22,30.20,42.62,212.00
00:02:42,30.22,42.57,212.00
00:03:02,30.22,42.53,211.00
00:03:22,30.23,42.54,211.00
00:03:42,30.25,42.57,210.00
00:04:02,30.24,42.54,211.00
00:04:22,30.22,42.49,212.00
00:04:42,30.28,42.49,210.00
00:05:03,30.26,42.49,212.00
00:05:23,30.25,42.50,211.00
00:05:43,30.22,42.54,214.00
00:06:03,30.20,42.58,214.00
00:06:23,30.15,42.64,214.00
00:06:43,30.15,42.67,209.00
00:07:03,30.18,42.68,209.00
00:07:23,30.20,42.64,211.00
00:07:43,30.23,42.62,211.00
00:08:03,30.21,42.64,211.00
00:08:23,30.20,42.66,209.00
00:08:43,30.20,42.63,212.00
00:09:03,30.19,42.65,215.00
00:09:23,30.19,42.64,211.00
00:09:44,30.18,42.67,212.00
00:10:04,30.19,42.66,213.00
00:10:24,30.15,42.68,213.00
00:10:44,30.17,42.73,212.00
00:11:04,30.13,42.76,215.00
00:11:24,30.14,42.75,214.00
00:11:44,30.15,42.69,212.00
00:12:04,30.15,42.69,210.00
00:12:24,30.17,42.70,210.00
00:12:44,30.19,42.68,210.00
00:13:04,30.20,42.62,211.00
00:13:24,30.21,42.62,215.00
00:13:44,30.20,42.67,211.00
00:14:04,30.21,42.65,213.00
00:14:24,30.20,42.63,212.00
00:14:45,30.22,42.61,214.00
00:15:05,30.21,42.55,214.00
00:15:25,30.19,42.60,211.00
00:15:45,30.15,42.66,210.00
00:16:05,30.17,42.73,214.00
00:16:25,30.18,42.74,213.00
00:16:45,30.17,42.70,212.00
00:17:05,30.16,42.73,215.00
00:17:25,30.16,42.76,212.00
00:17:45,30.09,42.84,214.00
00:18:05,30.10,42.87,215.00
00:18:25,30.13,42.81,213.00
00:18:45,30.11,42.80,214.00
00:19:05,30.10,42.82,214.00
00:19:26,30.14,42.80,213.00
00:19:46,30.14,42.73,213.00
00:20:06,30.16,42.71,213.00
00:20:26,30.17,42.71,211.00
00:20:46,30.19,42.69,214.00
00:21:06,30.18,42.66,210.00
00:21:26,30.18,42.68,211.00
00:21:46,30.16,42.76,213.00
00:22:06,30.20,42.71,213.00
00:22:26,30.15,42.70,214.00
00:22:46,30.17,42.75,214.00
00:23:06,30.09,42.77,215.00
00:23:26,30.09,42.86,215.00
00:23:46,30.15,42.82,212.00
00:24:06,30.11,42.83,214.00
00:24:27,30.12,42.82,212.00
00:24:47,30.12,42.81,214.00
00:25:07,30.09,42.84,214.00
00:25:27,30.14,42.83,213.00
00:25:47,30.18,42.72,215.00
00:26:07,30.20,42.69,215.00
00:26:27,30.19,42.69,214.00
00:26:47,30.17,42.71,216.00
00:27:07,30.16,42.76,216.00
00:27:27,30.13,42.81,213.00
00:27:47,30.13,42.82,216.00
00:28:07,30.08,42.84,215.00
00:28:27,30.14,42.81,215.00
00:28:47,30.14,42.85,214.00
00:29:08,30.10,42.87,214.00
00:29:28,30.09,42.86,214.00
00:29:48,30.06,42.90,215.00
00:30:08,30.07,42.90,214.00
00:30:28,30.09,42.88,214.00
00:30:48,30.08,42.84,216.00
00:31:08,30.12,42.89,215.00
00:31:28,30.09,42.92,214.00
00:31:48,30.08,42.94,215.00
00:32:08,30.08,42.95,214.00
00:32:28,30.06,42.98,216.00
00:32:48,30.07,42.99,216.00
00:33:08,30.06,43.01,213.00
00:33:28,30.04,43.01,215.00
00:33:48,30.06,42.90,216.00
00:34:09,30.08,42.92,213.00
00:34:29,30.13,42.90,214.00
00:34:49,30.15,42.83,214.00
00:35:09,30.16,42.78,213.00
00:35:29,30.14,42.82,216.00
00:35:49,30.11,42.89,214.00
00:36:09,30.10,42.93,217.00
00:36:29,30.09,42.96,214.00
00:36:49,30.02,43.01,216.00
00:37:09,30.00,43.05,217.00
00:37:29,30.03,43.12,214.00
00:37:49,30.00,43.09,214.00
00:38:09,30.04,43.11,216.00
00:38:29,30.00,43.07,214.00
00:38:50,30.01,43.05,214.00
00:39:10,30.02,43.04,215.00
00:39:30,30.04,43.02,215.00
00:39:50,30.03,43.03,214.00
00:40:10,30.01,43.05,215.00
00:40:30,30.05,43.06,218.00
00:40:50,30.03,43.02,214.00
00:41:10,30.06,42.98,215.00
00:41:30,30.06,43.01,215.00
00:41:50,30.07,43.00,215.00
00:42:10,30.03,42.95,216.00
00:42:30,30.07,42.97,216.00
00:42:50,30.13,42.95,215.00
00:43:10,30.10,42.91,217.00
00:43:30,30.07,42.94,216.00
00:43:51,30.08,42.92,214.00
00:44:11,30.07,42.89,215.00
00:44:31,30.14,42.92,219.00
00:44:51,30.08,42.97,215.00
00:45:11,30.07,43.00,215.00
